Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
21055,036,IND(1 - 3),Permission,0 / 30,Tom Fletcher+1
21102,037,IND(1 - 3),Permission,1 / 30,Angela Orebaugh
21270,038,IND(1 - 3),Permission,1 / 30,Yen-Ling Kuo
21302,039,IND(1 - 3),Permission,1 / 30,Wajih Ul Hassan
21438,040,IND(1 - 3),Permission,0 / 30,Henry Kautz
21499,041,IND(1 - 3),Permission,1 / 30,Miaomiao Zhang
21625,042,IND(1 - 3),Permission,1 / 30,Ferdinando Fioretto
21774,043,IND(1 - 3),Permission,1 / 30,Kenneth Bilchick+1
21863,044,IND(1 - 3),Permission,2 / 30,Chen Chen
21879,045,IND(1 - 3),Permission,3 / 30,Jack Davidson
21887,046,IND(1 - 3),Permission,0 / 30,Derrick Stone
21925,047,IND(1 - 3),Permission,1 / 30,Yue Cheng
,15900,001,SEM(0),Closed,82 / 60
15900,001,SEM(0),Closed,82 / 60,Rosanne Vrugtman
15900,001,SEM(0),Closed,82 / 60,Rosanne Vrugtman
19569,002,SEM(0),Closed,85 / 60,Rosanne Vrugtman
,15536,001,IND(1 - 3),Permission,3 / 30
15536,001,IND(1 - 3),Permission,3 / 30,Madhur Behl
15536,001,IND(1 - 3),Permission,3 / 30,Madhur Behl
15754,002,IND(1 - 3),Permission,0 / 30,Ashish Venkat
16206,003,IND(1 - 3),Permission,0 / 30,Brad Campbell
15651,004,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
15766,005,IND(1 - 3),Permission,1 / 30,Nicola Bezzo
16497,006,IND(1 - 3),Permission,0 / 30,Ferdinando Fioretto
16205,007,IND(1 - 3),Permission,2 / 30,Geoffrey Fox
15991,008,IND(1 - 3),Permission,0 / 30,Tariq Iqbal
16013,009,IND(1 - 3),Permission,0 / 30,Anil Vullikanti
15253,010,IND(1 - 3),Permission,1 / 10,Mark Sherriff
16517,011,IND(1 - 3),Permission,0 / 30,Yue Cheng
16204,012,IND(1 - 3),Permission,0 / 30,Tianhao Wang
16030,013,IND(1 - 3),Permission,1 / 30,Afsaneh Doryab
15678,014,IND(1 - 3),Permission,0 / 30,Robbie Hott
16519,015,IND(1 - 3),Permission,1 / 30,Wajih Ul Hassan
15792,016,IND(1 - 3),Permission,0 / 30,Jack Davidson
15797,017,IND(1 - 3),Permission,0 / 30,Seongkook Heo
15813,018,IND(1 - 3),Permission,0 / 30,Daniel Graham
15823,019,IND(1 - 3),Permission,0 / 30,Haiying Shen
15824,020,IND(1 - 3),Permission,1 / 30,Kevin Skadron
15344,021,IND(1 - 3),Permission,6 / 10,Nada Basit
15345,022,IND(1 - 3),Permission,0 / 30,Yanjun Qi
15694,023,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
15707,024,IND(1 - 3),Permission,2 / 30,Yangfeng Ji
15346,025,IND(1 - 3),Permission,0 / 30,David Evans
16207,026,IND(1 - 3),Permission,1 / 30,Felix Lin
16182,027,IND(1 - 3),Permission,1 / 30,Angela Orebaugh
16036,028,IND(1 - 3),Permission,0 / 30,Mircea Stan
16191,029,IND(1 - 3),Permission,0 / 30,Aidong Zhang
15856,030,IND(1 - 3),Permission,0 / 30,Madhav Marathe
