Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
15634,018,IND(1 - 3),Permission,0 / 30,Sebastian Elbaum
15318,019,IND(1 - 3),Permission,0 / 30,Madhur Behl
15037,020,IND(1 - 3),Permission,0 / 30,Mark Sherriff
15066,021,IND(1 - 3),Permission,0 / 30,Mark Floryan
15067,022,IND(1 - 3),Permission,0 / 30,Yanjun Qi
15637,023,IND(1 - 3),Permission,0 / 30,Robbie Hott
15356,024,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
15165,025,IND(1 - 3),Permission,0 / 30,Nada Basit
15683,026,IND(1 - 3),Permission,0 / 30,Ashish Venkat
15881,027,IND(1 - 3),Permission,0 / 30,Geoffrey Fox
16355,028,IND(1 - 3),Permission,0 / 30,Anil Vullikanti
16461,029,IND(1 - 3),Permission,0 / 30,Rohan Chandra
16144,030,IND(1 - 3),Permission,0 / 30,Jundong Li
15218,031,IND(1 - 3),Permission,0 / 30,Haiying Shen
16322,032,IND(1 - 3),Permission,0 / 30,Yen-Ling Kuo
15219,033,IND(1 - 3),Permission,0 / 30,Charles Reiss
15701,034,IND(1 - 3),Permission,0 / 30,Afsaneh Doryab
16307,035,IND(1 - 3),Permission,0 / 30,Kevin Skadron
15266,036,IND(1 - 3),Permission,0 / 30,Lu Feng
,20278,001,SEM(0),Open,0 / 60
20278,001,SEM(0),Open,0 / 60,Rosanne Vrugtman
20278,001,SEM(0),Open,0 / 60,Rosanne Vrugtman
,15443,001,IND(1 - 3),Permission,0 / 30
15443,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
15443,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
14766,002,IND(1 - 3),Permission,0 / 30,Mark Sherriff
14967,003,IND(1 - 3),Permission,0 / 30,Tom Horton
15432,004,IND(1 - 3),Permission,0 / 30,Aidong Zhang
15444,005,IND(1 - 3),Permission,0 / 30,Anil Vullikanti
15445,006,IND(1 - 3),Permission,0 / 30,Madhav Marathe
16454,007,IND(1 - 3),Permission,0 / 30,Chang Lou
15895,008,IND(1 - 3),Permission,0 / 30,Raymond Pettit
14961,009,IND(1 - 3),Permission,0 / 30,David Evans
15490,010,IND(1 - 3),Permission,0 / 30,Robbie Hott
15491,011,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
15905,012,IND(1 - 3),Permission,0 / 30,Rich Nguyen
16455,013,IND(1 - 3),Permission,0 / 30,Rohan Chandra
15492,014,IND(1 - 3),Permission,0 / 30,Seongkook Heo
15493,015,IND(1 - 3),Permission,0 / 30,Ashish Venkat
16425,016,IND(1 - 3),Permission,0 / 30,Shangtong Zhang
15527,017,IND(1 - 3),Permission,0 / 30,Jack Davidson
15061,018,IND(1 - 3),Permission,0 / 30,Yanjun Qi
15530,019,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
15544,020,IND(1 - 3),Permission,0 / 30,Madhur Behl
15545,021,IND(1 - 3),Permission,0 / 30,Brad Campbell
15089,022,IND(1 - 3),Permission,0 / 30,Mark Floryan
15893,023,IND(1 - 3),Permission,0 / 30,Briana Morrison
15133,024,IND(1 - 3),Permission,0 / 30,Nada Basit
16064,025,IND(1 - 3),Permission,0 / 30,Wei-Kai Lin
16464,026,IND(1 - 3),Permission,0 / 30,Scott Acton
16477,027,IND(1 - 3),Permission,0 / 30,Kenneth Bilchick+1
15705,028,IND(1 - 3),Permission,0 / 30,Tariq Iqbal
15706,029,IND(1 - 3),Permission,0 / 30,Afsaneh Doryab
15731,030,IND(1 - 3),Permission,0 / 30,Yixin Sun
15183,031,IND(1 - 3),Permission,0 / 30,Samira Khan
15739,032,IND(1 - 3),Permission,0 / 30,Judy Fox
15220,033,IND(1 - 3),Permission,0 / 30,Haiying Shen
15759,034,IND(1 - 3),Permission,0 / 30,Yangfeng Ji
15760,035,IND(1 - 3),Permission,0 / 30,Jundong Li
15875,036,IND(1 - 3),Permission,0 / 30,Miaomiao Zhang
15888,037,IND(1 - 3),Permission,0 / 30,Tianhao Wang
15267,038,IND(1 - 3),Permission,0 / 30,Lu Feng
15892,039,IND(1 - 3),Permission,0 / 30,Felix Lin
15762,040,IND(1 - 3),Permission,0 / 30,Geoffrey Fox
15363,041,IND(1 - 3),Permission,0 / 30,Sebastian Elbaum
15814,042,IND(1 - 3),Permission,0 / 30,Mark Sherriff
15861,043,IND(1 - 3),Permission,0 / 30,Yue Cheng
16487,044,IND(1 - 3),Permission,0 / 30,Kun Qian
15872,045,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
16284,046,IND(1 - 3),Permission,0 / 30,Adwait Jog
16318,047,IND(1 - 3),Permission,0 / 30,Kevin Skadron
16369,048,IND(1 - 3),Permission,0 / 30,Hyojoon Kim
16420,049,IND(1 - 3),Permission,0 / 30,Yen-Ling Kuo
,15454,001,IND(3),Permission,0 / 30
15454,001,IND(3),Permission,0 / 30,David Evans
15454,001,IND(3),Permission,0 / 30,David Evans
15825,002,IND(3),Permission,0 / 30,Panagiotis Apostolellis
15810,003,IND(3),Permission,0 / 30,Rich Nguyen
16151,004,IND(3),Permission,0 / 30,Brad Campbell
15494,005,IND(3),Permission,0 / 30,Robbie Hott
16481,006,IND(3),Permission,0 / 30,Zezhou Cheng
15882,007,IND(3),Permission,0 / 30,Kevin Skadron
16019,008,IND(3),Permission,0 / 30,Shangtong Zhang
15496,009,IND(3),Permission,0 / 30,Seongkook Heo
15497,010,IND(3),Permission,0 / 30,Sebastian Elbaum
15498,011,IND(3),Permission,0 / 30,Ashish Venkat
15531,012,IND(3),Permission,0 / 30,Homa Alemzadeh
15401,013,IND(3),Permission,0 / 30,Yanjun Qi
15335,014,IND(3),Permission,0 / 30,Mark Sherriff
15603,015,IND(3),Permission,0 / 30,Madhav Marathe
16421,016,IND(3),Permission,0 / 30,Ferdinando Fioretto
16288,017,IND(3),Permission,0 / 30,Briana Morrison
16296,018,IND(3),Permission,0 / 30,Aidong Zhang
15672,019,IND(3),Permission,0 / 30,Tariq Iqbal
16297,020,IND(3),Permission,0 / 30,Tom Fletcher
16306,021,IND(3),Permission,0 / 30,Wei-Kai Lin
16268,022,IND(3),Permission,0 / 30,Chen-Yu Wei
16441,023,IND(3),Permission,0 / 30,Anil Vullikanti
16476,024,IND(3),Permission,0 / 30,Yixin Sun
15710,025,IND(3),Permission,0 / 30,Afsaneh Doryab
15740,026,IND(3),Permission,0 / 30,Judy Fox
,19605,001,Lecture(3),Open,1 / 35
19605,001,Lecture(3),Open,1 / 35,Haiying Shen
19605,001,Lecture(3),Open,1 / 35,Haiying Shen
,14744,001,Lecture(1 - 3),Open,0 / 140
14744,001,Lecture(1 - 3),Open,0 / 140,Sandhya Dwarkadas
14744,001,Lecture(1 - 3),Open,0 / 140,Sandhya Dwarkadas
,20513,001,Lecture(3),Open,1 / 60
20513,001,Lecture(3),Open,1 / 60,Seongkook Heo
20513,001,Lecture(3),Open,1 / 60,Seongkook Heo
,16024,001,Lecture(3),Open,0 / 32
16024,001,Lecture(3),Open,0 / 32,John Doerner
16024,001,Lecture(3),Open,0 / 32,John Doerner
,15944,001,Lecture(3),Open,0 / 32
15944,001,Lecture(3),Open,0 / 32,Chen Chen
15944,001,Lecture(3),Open,0 / 32,Chen Chen
,15995,001,Lecture(3),Open,0 / 30
15995,001,Lecture(3),Open,0 / 30,Ashish Venkat
15995,001,Lecture(3),Open,0 / 30,Ashish Venkat
,,Convex Optimization for Engineering & Data Science,20439,001,Lecture(3)
,Convex Optimization for Engineering & Data Science,20439,001,Lecture(3),Open
20439,001,Lecture(3),Open,0 / 15,Jundong Li
16172,002,Lecture(3),Open,0 / 24,Matheus Xavier Ferreira
16173,003,Lecture(3),Open,0 / 32,To Be Announced
19606,004,Lecture(3),Open,0 / 32,Yen-Ling Kuo
16174,005,Lecture(3),Open,0 / 32,Zezhou Cheng
15916,006,Lecture(3),Open,0 / 32,Wenxi Wang
15917,007,Lecture(3),Open,0 / 32,To Be Announced
19607,008,Lecture(3),Open,0 / 17,Arsalan Heydarian+1
19608,009,Lecture(3),Open,0 / 32,Kun Qian
15918,010,Lecture(3),Open,0 / 32,To Be Announced
16026,011,Lecture(3),Open,0 / 32,Yue Cheng
20359,012,Lecture(3),Open,0 / 15,Tom Fletcher
20371,013,Lecture(3),Open,0 / 20,Miaomiao Zhang
,15654,001,Lecture(3),Open,0 / 48
15654,001,Lecture(3),Open,0 / 48,Felix Lin
15654,001,Lecture(3),Open,0 / 48,Felix Lin
,20511,001,Lecture(3),Open,0 / 32
20511,001,Lecture(3),Open,0 / 32,Yangfeng Ji
20511,001,Lecture(3),Open,0 / 32,Yangfeng Ji
,20512,001,Lecture(3),Open,0 / 32
20512,001,Lecture(3),Open,0 / 32,Chen-Yu Wei
20512,001,Lecture(3),Open,0 / 32,Chen-Yu Wei
,19612,001,Lecture(3),Open,0 / 12
19612,001,Lecture(3),Open,0 / 12,Brad Campbell
19612,001,Lecture(3),Open,0 / 12,Brad Campbell
,16073,001,IND(1),Permission,0 / 30
16073,001,IND(1),Permission,0 / 30,Yen-Ling Kuo
16073,001,IND(1),Permission,0 / 30,Yen-Ling Kuo
15463,002,IND(1),Permission,0 / 30,Farzad Hassanzadeh
15484,003,IND(1),Permission,0 / 30,Madhav Marathe
15289,004,IND(1),Permission,0 / 30,David Evans
16072,005,IND(1),Permission,0 / 30,Chen-Yu Wei
15290,006,IND(1),Permission,0 / 30,Miaomiao Zhang
16071,007,IND(1),Permission,0 / 30,Hyojoon Kim
15291,008,IND(1),Permission,0 / 30,Aidong Zhang
16070,009,IND(1),Permission,0 / 30,Wei-Kai Lin
15500,010,IND(1),Permission,0 / 30,Seongkook Heo
15501,011,IND(1),Permission,0 / 30,Sebastian Elbaum
16069,012,IND(1),Permission,0 / 30,Ferdinando Fioretto
15502,013,IND(1),Permission,0 / 30,Ashish Venkat
15854,014,IND(1),Permission,0 / 30,Shangtong Zhang
15525,015,IND(1),Permission,0 / 30,Jack Davidson
15292,016,IND(1),Permission,0 / 30,Haiying Shen
15293,017,IND(1),Permission,0 / 30,Kevin Skadron
15532,018,IND(1),Permission,0 / 30,Homa Alemzadeh
15811,019,IND(1),Permission,0 / 30,Felix Lin
15294,020,IND(1),Permission,0 / 30,Kevin Sullivan
