ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10780,MATH,7705,001,Lecture,"3","Joseph Johnson","MoTuWeThFr 1:00pm - 3:15pm","New Cabell Hall 038","Problems In Topology","",Open,0,10,0
10781,MATH,7755,001,Lecture,"3","Peter Abramenko","Sa 10:30am - 12:45pm","New Cabell Hall 411","Problems in Algebra","",Open,0,10,0
10850,MATH,9999,001,IND,"1 - 12","Yen Do","TBA","TBA","Non-Topical Research","",Open,0,30,0
10851,MATH,9999,001,IND,"1 - 12","Yen Do","TBA","TBA","Non-Topical Research","",Open,0,30,0
12179,MDST,2000,001,Lecture,"3","Pallavi Rao","TBA","TBA","Introduction to Media Studies","",Open,55,60,0
12180,MDST,2508,001,SEM,"3","Kate Sweeney","Sa 10:30am - 12:45pm","Web-Based Course","Topics in Media Practice","Feature Writing",Wait List,12,12,0
12365,MDST,2700,001,SEM,"3","Kate Sweeney","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","News Writing","",Closed,12,12,0
12181,MDST,2710,001,WKS,"3","Matthew Marshall","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Screenwriting","",Open,7,20,0
12182,MDST,2810,001,Lecture,"3","Matthew Marshall","MoTuWeThFr 3:30pm - 5:45pm","Web-Based Course","Cinema As An Art Form","",Open,7,20,0
12183,MDST,3050,001,SEM,"3","Keara Goin","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","History of Media","",Open,9,20,0
12508,MDST,3277,001,SEM,"3","Andrea Press","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Film, Television and Popular Culture of the U.S. in the 1950s","",Open,5,20,0
12187,MDST,3409,001,SEM,"3","Andre Cavalcante","MoTuWeThFr 3:30pm - 5:45pm","Bryan Hall 328","LGBTQ Issues in the Media","",Open,0,20,0
12185,MDST,3510,001,SEM,"3","Keara Goin","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Topics in Media Research","Stars, Celebrity, and Fame",Open,1,16,0
10870,MDST,3662,001,SEM,"3","Elizabeth Ellcessor","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","Disability and Media","",Open,16,20,0
12186,MDST,3755,001,SEM,"3","Ashleigh Wade","TBA","TBA","Social Media and Society","",Closed,20,20,10
12557,MDST,3800,001,IND,"1","William Little","TBA","TBA","Field Experience in Media Studies","",Open,0,1,0
11533,MED,6400,002,IND,"0","To Be Announced","TBA","TBA","Summer Medical Research Internship","",Open,0,50,0
11534,MED,8421,001,CLN,"0","To Be Announced","TBA","TBA","Patient Student Partnership 2A","",Open,4,30,0
12564,MED,8421,002,CLN,"0","To Be Announced","TBA","TBA","Patient Student Partnership 2A","",Open,1,30,0
11525,MED,8642,001,Lecture,"0","To Be Announced","TBA","TBA","Internal Medicine Clerkship","",Open,1,160,0
12570,MED,8642,002,Lecture,"0","To Be Announced","TBA","TBA","Internal Medicine Clerkship","",Open,1,30,0
12569,MED,8648,001,CLN,"0","To Be Announced","TBA","TBA","Pediatrics Clerkship","",Open,1,30,0
12568,MED,8652,001,CLN,"0","To Be Announced","TBA","TBA","Psychiatry Clerkship","",Open,1,30,0
11538,MED,8653,001,CLN,"0","To Be Announced","TBA","TBA","Primary Care and Outpatient Medicine Clerkship","",Open,2,30,0
12566,MED,8653,002,CLN,"0","To Be Announced","TBA","TBA","Primary Care and Outpatient Medicine Clerkship","",Open,1,30,0
11537,MED,8654,001,CLN,"0","To Be Announced","TBA","TBA","Surgery, Anesthesiology, Obstetrics & Gynecology Clerkship","",Open,1,30,0
12565,MED,8654,002,CLN,"0","To Be Announced","TBA","TBA","Surgery, Anesthesiology, Obstetrics & Gynecology Clerkship","",Open,1,30,0
11526,MED,8671,001,CLN,"0","To Be Announced","TBA","TBA","Clinical Electives","",Open,3,160,0
12539,MED,8671,002,CLN,"0","To Be Announced","TBA","TBA","Clinical Electives","",Open,3,160,0
