ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
21573,LAW,8810,1G,PRA,"1","Naomi Cahn, Craig Konnoth","TBA","TBA","Directed Research","",Closed,1,1,0
21599,LAW,8810,1H,PRA,"1","Deirdre Enright","TBA","TBA","Directed Research","",Closed,1,1,0
21063,LAW,8810,3VS,PRA,"1","Pierre-Hugues Verdier","TBA","TBA","Directed Research","",Closed,3,2,0
19797,LAW,8811,1A,IND,"1","Cathy Hwang","TBA","TBA","Independent Research","",Closed,1,1,0
21190,LAW,8811,1E,IND,"1","Kristen Eichensehr","TBA","TBA","Independent Research","",Closed,1,1,0
20261,LAW,8811,1B,IND,"1","George Geis","TBA","TBA","Independent Research","",Closed,1,1,0
21772,LAW,8811,1K,IND,"1","RICHARD RE","TBA","TBA","Independent Research","",Closed,1,1,0
21189,LAW,8811,1D,IND,"1","Michael Livermore","TBA","TBA","Independent Research","",Closed,2,2,0
21180,LAW,8811,1C,IND,"1","Nelson Sanchez-Leon","TBA","TBA","Independent Research","",Closed,1,1,0
21191,LAW,8811,1F,IND,"1","Gaurang Gulati","TBA","TBA","Independent Research","",Open,0,1,0
21773,LAW,8811,1L,IND,"1","Michael Gilbert","TBA","TBA","Independent Research","",Closed,1,1,0
21548,LAW,8811,1H,IND,"1","Rachel Harmon","TBA","TBA","Independent Research","",Closed,1,1,0
21458,LAW,8811,1G,IND,"1","John Setear","TBA","TBA","Independent Research","",Closed,3,2,0
21601,LAW,8811,1J,IND,"1","Micah Schwartzman","TBA","TBA","Independent Research","",Closed,1,1,0
21584,LAW,8811,1I,IND,"1","Michael Doran","TBA","TBA","Independent Research","",Closed,1,1,0
19796,LAW,8812,2A,IND,"2","Caleb Nelson","TBA","TBA","Independent Research","",Closed,1,1,0
21527,LAW,8812,2G,IND,"2","Anne Coughlin","TBA","TBA","Independent Research","",Closed,1,1,0
21586,LAW,8812,2K,IND,"2","Rachel Bayefsky","TBA","TBA","Independent Research","",Open,0,1,0
21064,LAW,8812,2B,IND,"2","Crystal Shin","TBA","TBA","Independent Research","",Closed,1,1,0
21602,LAW,8812,2M,IND,"2","Richard Schragger","TBA","TBA","Independent Research","",Closed,1,1,0
21577,LAW,8812,2I,IND,"2","Danielle Citron","TBA","TBA","Independent Research","",Closed,1,1,0
21387,LAW,8812,2E,IND,"2","Michael Gilbert","TBA","TBA","Independent Research","",Open,0,3,0
21358,LAW,8812,2D,IND,"2","Josh Bowers","TBA","TBA","Independent Research","",Closed,2,2,0
21395,LAW,8812,2F,IND,"2","Gaurang Gulati","TBA","TBA","Independent Research","",Open,0,1,0
21575,LAW,8812,2H,IND,"2","Kevin Cope","TBA","TBA","Independent Research","",Closed,1,1,0
21587,LAW,8812,2L,IND,"2","RICHARD RE","TBA","TBA","Independent Research","",Open,0,1,0
21580,LAW,8812,2J,IND,"2","Paul Mitchell","TBA","TBA","Independent Research","",Closed,1,1,0
21493,LAW,8813,3B,IND,"3","Ethan Yale","TBA","TBA","Independent Research","",Closed,1,1,0
21556,LAW,8813,3D,IND,"3","John Jeffries","TBA","TBA","Independent Research","",Closed,1,1,0
