ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
11378,MAE,9999,021,IND,"1 - 12","Eric Loth","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,3,30,0
11379,MAE,9999,022,IND,"1 - 12","Haydn Wadley","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11380,MAE,9999,023,IND,"1 - 12","Matthew Reidenbach","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11381,MAE,9999,024,IND,"1 - 12","N. Barker","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11382,MAE,9999,025,IND,"1 - 12","Patrick Hopkins","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,8,30,0
11386,MAE,9999,026,IND,"1 - 12","Zongli Lin","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11388,MAE,9999,027,IND,"1 - 12","Gregory Gerling","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,5,0
11395,MAE,9999,028,IND,"1 - 12","Matthew Panzer","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,5,30,0
11396,MAE,9999,029,IND,"1 - 12","Xiaodong Li","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,17,30,0
11406,MAE,9999,030,IND,"1 - 12","Chloe Dedic","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,4,30,0
11407,MAE,9999,031,IND,"1 - 12","Qing Chang","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
11414,MAE,9999,032,IND,"1 - 12","Melur Ramasubramanian","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
11604,MAE,9999,033,IND,"1 - 12","Elizabeth Opila","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,0,30,0
11599,MAE,9999,036,IND,"1 - 12","Tomonari Furukawa","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,1,30,0
12571,MAE,9999,037,IND,"1 - 12","Sarah Sun","TBA","TBA","Dissertation Research, Mechanical and Aerospace Engineering","",Open,2,30,0
10539,MATH,1140,001,Lecture,"3","Monika Abramenko","MoTuWeThFr 10:30am - 12:45pm","Dell 2 100","Financial Mathematics","",Open,13,25,0
10540,MATH,1210,001,Lecture,"3","Meiqin Li","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","A survey of Calculus I","",Closed,18,25,0
10541,MATH,1210,002,Lecture,"3","David Sherman","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 323","A survey of Calculus I","",Open,9,25,0
10542,MATH,1220,001,Lecture,"3","Tai Melcher","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 332","A Survey of Calculus II","",Open,11,25,0
10543,MATH,1220,002,Lecture,"3","Christian Gromoll","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 132","A Survey of Calculus II","",Open,18,25,0
10544,MATH,1220,003,Lecture,"3","Farzad Shafiei Dizaji","Sa 10:30am - 12:45pm","New Cabell Hall 323","A Survey of Calculus II","",Open,19,25,0
10545,MATH,1220,004,Lecture,"3","Brianna Kurtz","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","A Survey of Calculus II","",Open,24,25,0
10546,MATH,1310,001,Lecture,"4","James Bowling","MoTuWeThFr 9:45am - 12:45pm","New Cabell Hall 323","Calculus I","",Open,10,25,0
10547,MATH,1320,001,Lecture,"4","Jim Rolf, -","Sa 9:45am - 12:45pm","Gilmer Hall 247","Calculus II","",Open,13,25,0
10548,MATH,2310,001,Lecture,"4","Kumud Altmayer","MoTuWeThFr 9:45am - 12:45pm","Dell 2 100","Calculus III","",Open,7,25,0
10549,MATH,3100,001,Lecture,"3","Dmitriy Sonkin","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 364","Introduction to Probability","",Open,11,25,0
10550,MATH,3100,002,Lecture,"3","Dmitriy Sonkin, -","Sa 10:30am - 12:45pm","Dell 2 101","Introduction to Probability","",Open,4,25,0
12614,MATH,4993,001,IND,"1 - 3","Juraj Foldes","TBA","TBA","Independent Study","",Open,0,30,0
10574,MATH,5305,001,Lecture,"3","Walker Stern","MoTuWeThFr 10:30am - 12:45pm","Dell 2 101","Proofs in Analysis","",Open,3,15,0
10575,MATH,7305,001,Lecture,"3","Julie Spencer","MoTuWeThFr 10:30am - 12:45pm","Mechanical Engineering 305","Problems in Analysis","",Open,3,15,0
10576,MATH,7705,001,Lecture,"3","Joseph Johnson","MoTuWeThFr 1:00pm - 3:15pm","New Cabell Hall 291","Problems In Topology","",Open,3,15,0
10577,MATH,7755,001,Lecture,"3","Peter Abramenko","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 115","Problems in Algebra","",Open,2,15,0
12674,MATH,9999,001,IND,"1 - 12","Yen Do","TBA","TBA","Non-Topical Research","",Open,1,30,0
12675,MATH,9999,001,IND,"1 - 12","Yen Do","TBA","TBA","Non-Topical Research","",Open,0,30,0
12062,MDST,2508,001,SEM,"3","Kate Sweeney","MoTuWeThFr 10:30am - 12:45pm","Wilson Hall 244","Topics in Media Practice","Feature Writing",Open,9,20,0
12606,MDST,2710,001,WKS,"3","Doug Grissom, -","Sa 1:00pm - 3:15pm","New Cabell Hall 211","Screenwriting","",Open,7,12,0
12060,MDST,3050,001,SEM,"3","Keara Goin","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","History of Media","",Open,14,20,0
10357,MDST,3502,1,SEM,"3","Matthew Marshall","MoTuWeThFr 3:00pm - 5:15pm","Web-Based Course","Special Topics in Film Genre","The Horror Film",Closed,22,20,0
12064,MDST,3502,002,SEM,"3","Matthew Marshall, -","Sa 3:00pm - 5:15pm","Wilson Hall 244","Special Topics in Film Genre","The Comedy Film: Make 'Em Laugh",Open,15,20,0
12061,MDST,3510,001,SEM,"3","Keara Goin","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Topics in Media Research","Stars, Celebrity, and Fame",Open,13,20,0
10344,MED,6400,002,IND,"0","To Be Announced","TBA","TBA","Summer Medical Research Internship","",Open,20,50,0
10346,MED,8421,001,CLN,"0","To Be Announced","TBA","TBA","Patient Student Partnership 2A","",Open,0,30,0
10333,MED,8642,001,Lecture,"0","To Be Announced","TBA","TBA","Internal Medicine Clerkship","",Open,1,160,0
10330,MED,8648,001,Lecture,"0","To Be Announced","TBA","TBA","Pediatrics Clerkship","",Open,1,160,0
10351,MED,8648,002,Lecture,"0","To Be Announced","TBA","TBA","Pediatrics Clerkship","",Open,1,160,0
10331,MED,8652,001,Lecture,"0","To Be Announced","TBA","TBA","Psychiatry Clerkship","",Open,1,160,0
10342,MED,8652,002,Lecture,"0","To Be Announced","TBA","TBA","Psychiatry Clerkship","",Open,1,160,0
10350,MED,8653,001,CLN,"0","To Be Announced","TBA","TBA","Preventive, Acute, and Chronic Longitudinal Ambulatory Care Clerkship","",Open,0,30,0
