Class Number,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,Enrollment Limit,Waitlist
,,,15936,001,,158 / 200,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,,,Lecture (3),,,
15936,,,001,Lecture,3,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,Minor Hall 125,,,Open,158,200,
15936,,,001,Lecture,3,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,Minor Hall 125,,,Open,158,200,
16112,,,002,Lecture,3,Arohi Khargonkar,MoWeFr 12:00pm - 12:50pm,Gilmer Hall 301,,,Open,238,250,
15592,,,101,Laboratory,0,Arohi Khargonkar,Th 12:30pm - 1:45pm,Olsson Hall 018,,,Open,79,85,
15594,,,102,Laboratory,0,Arohi Khargonkar,Th 9:30am - 10:45am,Olsson Hall 018,,,Open,65,85,
15595,,,103,Laboratory,0,Arohi Khargonkar,Th 11:00am - 12:15pm,Olsson Hall 018,,,Open,79,85,
15593,,,104,Laboratory,0,Arohi Khargonkar,Th 2:00pm - 3:15pm,Olsson Hall 018,,,Open,81,85,
15905,,,105,Laboratory,0,Arohi Khargonkar,Th 3:30pm - 4:45pm,Olsson Hall 018,,,Open,65,85,
16113,,,106,Laboratory,0,Arohi Khargonkar,Th 5:00pm - 6:15pm,Olsson Hall 018,,,Open,19,85,
16114,,,107,Laboratory,0,Arohi Khargonkar,Th 6:30pm - 7:45pm,Olsson Hall 018,,,Open,8,85,
,,,16078,001,,78 / 90,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,,,Lecture (3),,,
16078,,,001,Lecture,3,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,Thornton Hall E316,,,Open,78,90,
16078,,,001,Lecture,3,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,Thornton Hall E316,,,Open,78,90,
,,,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,,Lecture (3),Closed,89 / 85,,,15596,,,
,,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15596,,Closed,89 / 85,Nada Basit,,,001,,,
15596,,,001,Lecture,3,Nada Basit,MoWeFr 12:30pm - 1:45pm,Olsson Hall 018,,,Closed,89,85,
16929,,,002,Lecture,3,Nada Basit,MoWeFr 2:00pm - 3:15pm,Olsson Hall 018,,,Closed,88,85,
,,,,Note that his class is PHYS1655,it is cross listed as CS1113),Lecture (3),Open,24 / 40,,,20568,,,
,,,Note that his class is PHYS1655 (it is cross listed as CS1113).,20568,,Open,24 / 40,Robert Group,,,001,,,
20568,,,001,Lecture,3,Robert Group,MoWe 3:30pm - 4:45pm,Physics Bldg 238,,,Open,24,40,
,,,,Bot Basics: Examining Automata,,20629,001,Lecture (1),,,,,,
,,,Bot Basics: Examining Automata,,,001,Lecture (1),Open,,,Student run course,,,
20629,,,001,Lecture,1,Briana Morrison,We 1:00pm - 1:50pm,Mechanical Engineering 206,,,Open,15,20,
20630,,,002,Lecture,1,Breenice Lee,Tu 11:00am - 11:50am,Mechanical Engr Bldg 215,,,Open,13,20,
,,,16771,001,,262 / 450,Briana Morrison,MoWeFr 12:00pm - 12:50pm,,,Lecture (4),,,
16771,,,001,Lecture,4,Briana Morrison,MoWeFr 12:00pm - 12:50pm,Chemistry Bldg 402,,,Open,262,450,
16771,,,001,Lecture,4,Briana Morrison,MoWeFr 12:00pm - 12:50pm,Chemistry Bldg 402,,,Open,262,450,
16772,,,002,Lecture,4,Shivani Datar,MoWeFr 2:00pm - 2:50pm,Rice Hall 130,,,Open,139,145,
16774,,,101,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Olsson Hall 018,,,Open,83,90,
16775,,,102,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Mechanical Engr Bldg 205,,,Open,73,150,
16776,,,103,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Rice Hall 130,,,Open,128,150,
16777,,,104,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Olsson Hall 018,,,Open,70,90,
16778,,,105,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Rice Hall 130,,,Open,47,150,
,,,16655,001,,144 / 145,Tom Horton,MoWeFr 10:00am - 10:50am,,,Lecture (3),,,
16655,,,001,Lecture,3,Tom Horton,MoWeFr 10:00am - 10:50am,Rice Hall 130,,,Open,144,145,
16655,,,001,Lecture,3,Tom Horton,MoWeFr 10:00am - 10:50am,Rice Hall 130,,,Open,144,145,
16656,,,002,Lecture,3,Kevin Sullivan,TuTh 2:00pm - 3:15pm,Olsson Hall 120,,,Open,116,130,
16657,,,003,Lecture,3,Tom Horton,MoWeFr 11:00am - 11:50am,Rice Hall 130,,,Open,144,145,
21004,,,004,Lecture,3,Rohan Chandra,MoWe 11:00am - 12:15pm,Olsson Hall 018,,,Open,47,60,
,,,16808,001,,223 / 300,Daniel Graham,MoWeFr 1:00pm - 1:50pm,,,Lecture (4),,,
16808,,,001,Lecture,4,Daniel Graham,MoWeFr 1:00pm - 1:50pm,Gilmer Hall 301,,,Open,223,300,
16808,,,001,Lecture,4,Daniel Graham,MoWeFr 1:00pm - 1:50pm,Gilmer Hall 301,,,Open,223,300,
16809,,,002,Lecture,4,Todd Delong,MoWeFr 9:00am - 9:50am,Olsson Hall 120,,,Open,112,140,
19536,,,003,Lecture,4,Todd Delong,MoWeFr 1:00pm - 1:50pm,Rice Hall 130,,,Open,133,145,
16810,,,101,Laboratory,0,Daniel Graham,Tu 9:30am - 10:45am,Olsson Hall 018,,,Open,54,88,
16811,,,102,Laboratory,0,Daniel Graham,Tu 11:00am - 12:15pm,Olsson Hall 018,,,Open,87,88,
16812,,,103,Laboratory,0,Daniel Graham,Tu 12:30pm - 1:45pm,Olsson Hall 018,,,Open,83,88,
16813,,,104,Laboratory,0,Daniel Graham,Tu 2:00pm - 3:15pm,Olsson Hall 018,,,Open,85,88,
16814,,,105,Laboratory,0,Daniel Graham,Tu 3:30pm - 4:45pm,Olsson Hall 018,,,Open,78,88,
16815,,,106,Laboratory,0,Daniel Graham,Tu 5:00pm - 6:15pm,Olsson Hall 018,,,Open,74,88,
16930,,,107,Laboratory,0,Daniel Graham,Tu 6:30pm - 7:45pm,Olsson Hall 018,,,Open,7,88,
,,,16153,001,,107 / 130,Nada Basit+1,TBA,,,PRA (1),,,
16153,,,001,PRA,1,Nada Basit+1,TBA,TBA,,,Permission,107,130,
16153,,,001,PRA,1,Nada Basit+1,TBA,TBA,,,Permission,107,130,
,,,21421,001,,1 / 30,Mark Sherriff,TBA,,,IND (1 - 3),,,
21421,,,001,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,1,30,
21421,,,001,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,1,30,
,,,16805,001,,160 / 168,Aaron Bloomfield,TuTh 11:00am - 12:15pm,,,Lecture (3),,,
16805,,,001,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,,,Open,160,168,
16805,,,001,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,,,Open,160,168,
16806,,,002,Lecture,3,Aaron Bloomfield+1,TuTh 9:30am - 10:45am,Nau Hall 101,,,Open,180,220,
,,,17014,001,,215 / 330,Mark Floryan,TuTh 12:30pm - 1:45pm,,,Lecture (3),,,
17014,,,001,Lecture,3,Mark Floryan,TuTh 12:30pm - 1:45pm,Gilmer Hall 301,,,Open,215,330,
17014,,,001,Lecture,3,Mark Floryan,TuTh 12:30pm - 1:45pm,Gilmer Hall 301,,,Open,215,330,
19537,,,002,Lecture,3,Mark Floryan,TuTh 9:30am - 10:45am,Mechanical Engr Bldg 205,,,Open,139,148,
,,,16931,001,,249 / 294,Charles Reiss,TuTh 2:00pm - 3:15pm,,,Lecture (4),,,
16931,,,001,Lecture,4,Charles Reiss,TuTh 2:00pm - 3:15pm,John W. Warner Hall 209,,,Open,249,294,
16931,,,001,Lecture,4,Charles Reiss,TuTh 2:00pm - 3:15pm,John W. Warner Hall 209,,,Open,249,294,
19538,,,002,Lecture,4,Kevin Skadron,TuTh 12:30pm - 1:45pm,Rice Hall 130,,,Closed,159,150,
16932,,,101,Laboratory,0,Charles Reiss,We 3:30pm - 4:45pm,Olsson Hall 018,,,Open,87,90,
16933,,,102,Laboratory,0,Charles Reiss,We 3:30pm - 4:45pm,Rice Hall 130,,,Open,149,150,
16934,,,103,Laboratory,0,Charles Reiss,We 5:00pm - 6:15pm,Olsson Hall 018,,,Open,63,90,
16935,,,104,Laboratory,0,Charles Reiss,We 5:00pm - 6:15pm,Rice Hall 130,,,Open,89,150,
16936,,,105,Laboratory,0,Charles Reiss,We 6:30pm - 7:45pm,Olsson Hall 018,,,Open,20,90,
,,,16780,001,,380 / 370,Paul McBurney,TuTh 2:00pm - 3:15pm,,,Lecture (3),,,
16780,,,001,Lecture,3,Paul McBurney,TuTh 2:00pm - 3:15pm,McLeod Hall 1020,,,Closed,380,370,
16780,,,001,Lecture,3,Paul McBurney,TuTh 2:00pm - 3:15pm,McLeod Hall 1020,,,Closed,380,370,
19539,,,002,Lecture,3,Derrick Stone,TuTh 3:30pm - 4:45pm,Olsson Hall 120,,,Closed,141,140,
,,,21143,001,,80 / 80,Briana Morrison,MoWeFr 11:00am - 11:50am,,,Lecture (3),,,
21143,,,001,Lecture,3,Briana Morrison,MoWeFr 11:00am - 11:50am,Thornton Hall E316,,,Permission,80,80,
21143,,,001,Lecture,3,Briana Morrison,MoWeFr 11:00am - 11:50am,Thornton Hall E316,,,Permission,80,80,
,,,,"Course title has changed, but same course as before!",,Lecture (3),Open,141 / 150,,,15928,,,
,,,"Course title has changed, but same course as before!",15928,,Open,141 / 150,Tom Horton,,,001,,,
15928,,,001,Lecture,3,Tom Horton,TuTh 2:00pm - 3:15pm,Rice Hall 130,,,Open,141,150,
16807,,,002,Lecture,3,Mark Sherriff,TuTh 9:30am - 10:45am,Rice Hall 130,,,Open,91,150,
15953,,,101,Laboratory,0,Mark Sherriff,TBA,TBA,,,Open,232,300,
,,,16386,001,,142 / 140,Angela Orebaugh,MoWeFr 10:00am - 10:50am,,,Lecture (3),,,
16386,,,001,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,,,Closed,142,140,
16386,,,001,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,,,Closed,142,140,
16556,,,002,Lecture,3,Angela Orebaugh,MoWeFr 11:00am - 11:50am,Olsson Hall 120,,,Open,139,140,
16937,,,003,Lecture,3,Tianhao Wang,MoWeFr 1:00pm - 1:50pm,Olsson Hall 120,,,Open,138,140,
21135,,,004,Lecture,3,Aaron Bloomfield,TuTh 9:30am - 10:45am,Thornton Hall E316,,,Open,27,80,
,,,17096,001,,80 / 90,Derrick Stone,TuTh 2:00pm - 3:15pm,,,Lecture (3),,,
17096,,,001,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Thornton Hall E316,,,Open,80,90,
17096,,,001,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Thornton Hall E316,,,Open,80,90,
,,,17012,001,,3 / 11,Homa Alemzadeh,MoWe 9:30am - 10:45am,,,Lecture (3),,,
17012,,,001,Lecture,3,Homa Alemzadeh,MoWe 9:30am - 10:45am,Thornton Hall D115,,,Open,3,11,
17012,,,001,Lecture,3,Homa Alemzadeh,MoWe 9:30am - 10:45am,Thornton Hall D115,,,Open,3,11,
,,,19540,001,,54 / 80,Charles Reiss,TuTh 9:30am - 10:45am,,,Lecture (3),,,
19540,,,001,Lecture,3,Charles Reiss,TuTh 9:30am - 10:45am,Olsson Hall 005,,,Open,54,80,
19540,,,001,Lecture,3,Charles Reiss,TuTh 9:30am - 10:45am,Olsson Hall 005,,,Open,54,80,
,,,,Privacy in the Internet Age,,Lecture (3),Open,70 / 80,,,16389,,,
,,,Privacy in the Internet Age,16389,,Open,70 / 80,Yixin Sun,,,001,,,
16389,,,001,Lecture,3,Yixin Sun,TuTh 11:00am - 12:15pm,Thornton Hall E316,,,Open,70,80,
19542,,,002,Lecture,3,Yu Meng,MoWeFr 2:00pm - 2:50pm,Thornton Hall E303,,,Open,61,80,
17050,,,003,Lecture,3,Brad Campbell+1,MoWe 3:30pm - 4:45pm,Rice Hall 340,,,Closed,2,2,
19543,,,004,Lecture,3,Shangtong Zhang,TuTh 11:00am - 12:15pm,Thornton Hall E303,,,Open,69,80,
16995,,,005,Lecture,3,Miaomiao Zhang,MoWe 2:00pm - 3:15pm,Thornton Hall E316,,,Open,9,14,
16398,,,006,Lecture,3,Madhur Behl,TuTh 9:30am - 10:45am,Rice Hall 120,,,Open,43,48,
,,,19541,001,,66 / 80,Raymond Pettit,MoWeFr 10:00am - 10:50am,,,Lecture (3),,,
19541,,,001,Lecture,3,Raymond Pettit,MoWeFr 10:00am - 10:50am,Olsson Hall 018,,,Open,66,80,
19541,,,001,Lecture,3,Raymond Pettit,MoWeFr 10:00am - 10:50am,Olsson Hall 018,,,Open,66,80,
,,,16197,001,,52 / 70,Matthew Dwyer,TuTh 2:00pm - 3:15pm,,,Lecture (3),,,
16197,,,001,Lecture,3,Matthew Dwyer,TuTh 2:00pm - 3:15pm,Olsson Hall 009,,,Open,52,70,
16197,,,001,Lecture,3,Matthew Dwyer,TuTh 2:00pm - 3:15pm,Olsson Hall 009,,,Open,52,70,
,,,16801,001,,54 / 76,Wajih Ul Hassan,TuTh 3:30pm - 4:45pm,,,Lecture (3),,,
16801,,,001,Lecture,3,Wajih Ul Hassan,TuTh 3:30pm - 4:45pm,Olsson Hall 011,,,Open,54,76,
16801,,,001,Lecture,3,Wajih Ul Hassan,TuTh 3:30pm - 4:45pm,Olsson Hall 011,,,Open,54,76,
,,,16056,001,,52 / 80,Chen-Yu Wei,TuTh 9:30am - 10:45am,,,Lecture (3),,,
16056,,,001,Lecture,3,Chen-Yu Wei,TuTh 9:30am - 10:45am,Olsson Hall 009,,,Open,52,80,
16056,,,001,Lecture,3,Chen-Yu Wei,TuTh 9:30am - 10:45am,Olsson Hall 009,,,Open,52,80,
17090,,,002,Lecture,3,Ferdinando Fioretto,TuTh 3:30pm - 4:45pm,Mechanical Engr Bldg 205,,,Open,118,120,
,,,19544,001,,81 / 80,Mark Sherriff,TuTh 11:00am - 12:15pm,,,Lecture (3),,,
19544,,,001,Lecture,3,Mark Sherriff,TuTh 11:00am - 12:15pm,Thornton Hall A120,,,Closed,81,80,
19544,,,001,Lecture,3,Mark Sherriff,TuTh 11:00am - 12:15pm,Thornton Hall A120,,,Closed,81,80,
,,,19545,001,,69 / 80,Yue Cheng,MoWe 3:30pm - 4:45pm,,,Lecture (3),,,
19545,,,001,Lecture,3,Yue Cheng,MoWe 3:30pm - 4:45pm,Olsson Hall 005,,,Open,69,80,
19545,,,001,Lecture,3,Yue Cheng,MoWe 3:30pm - 4:45pm,Olsson Hall 005,,,Open,69,80,
,,,16086,001,,138 / 120,Shivani Datar,MoWeFr 12:00pm - 12:50pm,,,Lecture (3),,,
16086,,,001,Lecture,3,Shivani Datar,MoWeFr 12:00pm - 12:50pm,Olsson Hall 120,,,Closed,138,120,
16086,,,001,Lecture,3,Shivani Datar,MoWeFr 12:00pm - 12:50pm,Olsson Hall 120,,,Closed,138,120,
,,,16388,001,,222 / 240,Rich Nguyen,TuTh 12:30pm - 1:45pm,,,Lecture (3),,,
16388,,,001,Lecture,3,Rich Nguyen,TuTh 12:30pm - 1:45pm,Nau Hall 101,,,Open,222,240,
16388,,,001,Lecture,3,Rich Nguyen,TuTh 12:30pm - 1:45pm,Nau Hall 101,,,Open,222,240,
,,,17081,001,,0 / 30,Panagiotis Apostolellis,TBA,,,IND (1 - 3),,,
17081,,,001,IND,1 - 3,Panagiotis Apostolellis,TBA,TBA,,,Permission,0,30,
17081,,,001,IND,1 - 3,Panagiotis Apostolellis,TBA,TBA,,,Permission,0,30,
17069,,,002,IND,1 - 3,Kevin Sullivan,TBA,TBA,,,Permission,0,30,
16466,,,003,IND,1 - 3,Seongkook Heo,TBA,TBA,,,Permission,0,30,
16493,,,004,IND,1 - 3,Daniel Graham,TBA,TBA,,,Permission,0,30,
16500,,,005,IND,1 - 3,Jack Davidson,TBA,TBA,,,Permission,1,30,
16390,,,007,IND,1 - 3,Aidong Zhang,TBA,TBA,,,Permission,0,30,
17058,,,008,IND,1 - 3,Briana Morrison,TBA,TBA,,,Permission,0,30,
16836,,,009,IND,1 - 3,Yixin Sun,TBA,TBA,,,Permission,0,30,
16516,,,010,IND,1 - 3,Rich Nguyen,TBA,TBA,,,Permission,1,30,
15958,,,011,IND,1 - 3,David Evans,TBA,TBA,,,Permission,0,30,
16540,,,012,IND,1 - 3,Madhav Marathe,TBA,TBA,,,Permission,0,30,
16356,,,013,IND,1 - 3,Farzad Hassanzadeh,TBA,TBA,,,Permission,0,30,
16783,,,014,IND,1 - 3,Rosanne Vrugtman,TBA,TBA,,,Permission,0,30,
16751,,,015,IND,1 - 3,Felix Lin,TBA,TBA,,,Permission,1,30,
16351,,,016,IND,1 - 3,Yangfeng Ji,TBA,TBA,,,Permission,2,30,
16554,,,017,IND,1 - 3,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
16759,,,018,IND,1 - 3,Raymond Pettit,TBA,TBA,,,Permission,0,30,
16614,,,019,IND,1 - 3,Sebastian Elbaum,TBA,TBA,,,Permission,0,30,
16272,,,020,IND,1 - 3,Madhur Behl,TBA,TBA,,,Permission,0,30,
15959,,,021,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,3,30,
15991,,,022,IND,1 - 3,Mark Floryan,TBA,TBA,,,Permission,1,30,
15992,,,023,IND,1 - 3,Yanjun Qi,TBA,TBA,,,Permission,0,30,
16617,,,024,IND,1 - 3,Robbie Hott,TBA,TBA,,,Permission,0,30,
16313,,,025,IND,1 - 3,Homa Alemzadeh,TBA,TBA,,,Permission,0,30,
16102,,,026,IND,1 - 3,Nada Basit,TBA,TBA,,,Permission,3,30,
16675,,,027,IND,1 - 3,Ashish Venkat,TBA,TBA,,,Permission,0,30,
16696,,,028,IND,1 - 3,Nicola Bezzo,TBA,TBA,,,Permission,0,30,
16697,,,029,IND,1 - 3,Kristen Naegle,TBA,TBA,,,Permission,0,30,
16314,,,030,IND,1 - 3,Jonathan Goodall,TBA,TBA,,,Permission,0,30,
17241,,,031,IND,1 - 3,Jundong Li,TBA,TBA,,,Permission,0,30,
16156,,,032,IND,1 - 3,Haiying Shen,TBA,TBA,,,Permission,1,30,
16698,,,033,IND,1 - 3,Denis Nekipelov,TBA,TBA,,,Permission,1,30,
16157,,,034,IND,1 - 3,Charles Reiss,TBA,TBA,,,Permission,0,30,
16700,,,035,IND,1 - 3,Afsaneh Doryab,TBA,TBA,,,Permission,0,30,
16745,,,037,IND,1 - 3,Paul McBurney,TBA,TBA,,,Permission,0,30,
16213,,,038,IND,1 - 3,Lu Feng,TBA,TBA,,,Permission,0,30,
16885,,,039,IND,1 - 3,Tianhao Wang,TBA,TBA,,,Permission,0,30,
16899,,,040,IND,1 - 3,Geoffrey Fox,TBA,TBA,,,Permission,1,30,
16699,,,041,IND,1 - 3,Tariq Iqbal,TBA,TBA,,,Permission,0,30,
20647,,,042,IND,1 - 3,Kevin Skadron,TBA,TBA,,,Permission,2,30,
20882,,,043,IND,1 - 3,Yen-Ling Kuo,TBA,TBA,,,Permission,2,30,
21084,,,044,IND,1 - 3,Anil Vullikanti,TBA,TBA,,,Permission,2,30,
21387,,,045,IND,1 - 3,Rohan Chandra,TBA,TBA,,,Permission,2,30,
,,,16818,001,,54 / 60,Briana Morrison+1,TBA,,,SEM (0),,,
16818,,,001,SEM,0,Briana Morrison+1,TBA,TBA,,,Open,54,60,
16818,,,001,SEM,0,Briana Morrison+1,TBA,TBA,,,Open,54,60,
16831,,,002,SEM,0,Briana Morrison+1,TBA,TBA,,,Open,32,60,
,,,16402,001,,0 / 30,Aaron Bloomfield,TBA,,,IND (1 - 3),,,
16402,,,001,IND,1 - 3,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
16402,,,001,IND,1 - 3,Aaron Bloomfield,TBA,TBA,,,Permission,0,30,
15672,,,002,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,0,30,
15884,,,003,IND,1 - 3,Tom Horton,TBA,TBA,,,Permission,0,30,
16391,,,004,IND,1 - 3,Aidong Zhang,TBA,TBA,,,Permission,0,30,
16403,,,005,IND,1 - 3,Anil Vullikanti,TBA,TBA,,,Permission,0,30,
16404,,,006,IND,1 - 3,Madhav Marathe,TBA,TBA,,,Permission,0,30,
16701,,,007,IND,1 - 3,Nicola Bezzo,TBA,TBA,,,Permission,2,30,
16916,,,008,IND,1 - 3,Raymond Pettit,TBA,TBA,,,Permission,1,30,
15878,,,009,IND,1 - 3,David Evans,TBA,TBA,,,Permission,0,30,
16451,,,010,IND,1 - 3,Robbie Hott,TBA,TBA,,,Permission,1,30,
16452,,,011,IND,1 - 3,Panagiotis Apostolellis,TBA,TBA,,,Permission,1,30,
16926,,,012,IND,1 - 3,Rich Nguyen,TBA,TBA,,,Permission,2,30,
17070,,,013,IND,1 - 3,Paul McBurney,TBA,TBA,,,Permission,0,30,
16455,,,014,IND,1 - 3,Seongkook Heo,TBA,TBA,,,Permission,0,30,
16456,,,015,IND,1 - 3,Ashish Venkat,TBA,TBA,,,Permission,0,30,
16494,,,016,IND,1 - 3,Daniel Graham,TBA,TBA,,,Permission,1,30,
16501,,,017,IND,1 - 3,Jack Davidson,TBA,TBA,,,Permission,0,30,
15986,,,018,IND,1 - 3,Yanjun Qi,TBA,TBA,,,Permission,0,30,
16504,,,019,IND,1 - 3,Homa Alemzadeh,TBA,TBA,,,Permission,0,30,
16518,,,020,IND,1 - 3,Madhur Behl,TBA,TBA,,,Permission,0,30,
16519,,,021,IND,1 - 3,Brad Campbell,TBA,TBA,,,Permission,0,30,
16016,,,022,IND,1 - 3,Mark Floryan,TBA,TBA,,,Permission,0,30,
16914,,,023,IND,1 - 3,Briana Morrison,TBA,TBA,,,Permission,0,30,
16065,,,024,IND,1 - 3,Nada Basit,TBA,TBA,,,Permission,6,30,
17152,,,025,IND,1 - 3,Wei-Kai Lin,TBA,TBA,,,Permission,0,30,
16702,,,026,IND,1 - 3,Kristen Naegle,TBA,TBA,,,Permission,0,30,
16703,,,027,IND,1 - 3,Denis Nekipelov,TBA,TBA,,,Permission,0,30,
16704,,,028,IND,1 - 3,Tariq Iqbal,TBA,TBA,,,Permission,0,30,
16705,,,029,IND,1 - 3,Afsaneh Doryab,TBA,TBA,,,Permission,0,30,
16733,,,031,IND,1 - 3,Yixin Sun,TBA,TBA,,,Permission,0,30,
16120,,,032,IND,1 - 3,Samira Khan,TBA,TBA,,,Permission,0,30,
16741,,,033,IND,1 - 3,Judy Fox,TBA,TBA,,,Permission,2,30,
16159,,,034,IND,1 - 3,Haiying Shen,TBA,TBA,,,Permission,0,30,
16761,,,035,IND,1 - 3,Yangfeng Ji,TBA,TBA,,,Permission,0,30,
16762,,,036,IND,1 - 3,Jundong Li,TBA,TBA,,,Permission,4,30,
16893,,,037,IND,1 - 3,Miaomiao Zhang,TBA,TBA,,,Permission,1,30,
16907,,,038,IND,1 - 3,Tianhao Wang,TBA,TBA,,,Permission,0,30,
16214,,,039,IND,1 - 3,Lu Feng,TBA,TBA,,,Permission,1,30,
16913,,,040,IND,1 - 3,Felix Lin,TBA,TBA,,,Permission,0,30,
16766,,,041,IND,1 - 3,Geoffrey Fox,TBA,TBA,,,Permission,2,30,
16320,,,042,IND,1 - 3,Sebastian Elbaum,TBA,TBA,,,Permission,0,30,
16829,,,043,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,17,30,
16879,,,044,IND,1 - 3,Yue Cheng,TBA,TBA,,,Permission,4,30,
16312,,,045,IND,1 - 3,Jonathan Goodall,TBA,TBA,,,Permission,0,30,
16890,,,046,IND,1 - 3,Kevin Sullivan,TBA,TBA,,,Permission,0,30,
20514,,,047,IND,1 - 3,Adwait Jog,TBA,TBA,,,Permission,1,30,
20862,,,048,IND,1 - 3,Kevin Skadron,TBA,TBA,,,Permission,1,30,
21142,,,049,IND,1 - 3,Hyojoon Kim,TBA,TBA,,,Permission,3,30,
21234,,,050,IND,1 - 3,Yen-Ling Kuo,TBA,TBA,,,Permission,2,30,
21257,,,051,IND,1 - 3,Shangtong Zhang,TBA,TBA,,,Permission,1,30,
21377,,,052,IND,1 - 3,Chang Lou,TBA,TBA,,,Permission,1,30,
21378,,,053,IND,1 - 3,Rohan Chandra,TBA,TBA,,,Permission,3,30,
21411,,,054,IND,1 - 3,Scott Acton,TBA,TBA,,,Permission,1,30,
21461,,,055,IND,1 - 3,Kenneth Bilchick+1,TBA,TBA,,,Permission,1,30,
21500,,,056,IND,1 - 3,Kun Qian,TBA,TBA,,,Permission,1,30,
,,,16413,001,,1 / 30,David Evans,TBA,,,IND (3),,,
16413,,,001,IND,3,David Evans,TBA,TBA,,,Permission,1,30,
16413,,,001,IND,3,David Evans,TBA,TBA,,,Permission,1,30,
16842,,,002,IND,3,Panagiotis Apostolellis,TBA,TBA,,,Permission,0,30,
16415,,,003,IND,3,Panagiotis Apostolellis+1,TBA,TBA,,,Permission,0,30,
17248,,,004,IND,3,Brad Campbell,TBA,TBA,,,Permission,0,30,
16457,,,005,IND,3,Robbie Hott,TBA,TBA,,,Permission,0,30,
16458,,,006,IND,3,Daniel Graham,TBA,TBA,,,Permission,0,30,
16900,,,007,IND,3,Kevin Skadron,TBA,TBA,,,Permission,0,30,
17088,,,008,IND,3,Shangtong Zhang,TBA,TBA,,,Permission,2,30,
16461,,,009,IND,3,Seongkook Heo,TBA,TBA,,,Permission,0,30,
16462,,,010,IND,3,Sebastian Elbaum,TBA,TBA,,,Permission,1,30,
16463,,,011,IND,3,Ashish Venkat,TBA,TBA,,,Permission,1,30,
16505,,,012,IND,3,Homa Alemzadeh,TBA,TBA,,,Permission,0,30,
16359,,,013,IND,3,Yanjun Qi,TBA,TBA,,,Permission,0,30,
16290,,,014,IND,3,Mark Sherriff,TBA,TBA,,,Permission,2,30,
16580,,,015,IND,3,Madhav Marathe,TBA,TBA,,,Permission,0,30,
21241,,,016,IND,3,Ferdinando Fioretto,TBA,TBA,,,Permission,1,30,
16659,,,017,IND,3,E Dukes,TBA,TBA,,,Permission,0,30,
16660,,,018,IND,3,Mona Kasra,TBA,TBA,,,Permission,0,30,
16661,,,019,IND,3,Tariq Iqbal,TBA,TBA,,,Permission,0,30,
16662,,,020,IND,3,Gizem Korkmaz,TBA,TBA,,,Permission,0,30,
16664,,,021,IND,3,Olivier Pfister,TBA,TBA,,,Permission,0,30,
16706,,,022,IND,3,Nicola Bezzo,TBA,TBA,,,Permission,0,30,
16707,,,023,IND,3,Kristen Naegle,TBA,TBA,,,Permission,0,30,
16708,,,024,IND,3,Denis Nekipelov,TBA,TBA,,,Permission,0,30,
16709,,,025,IND,3,Afsaneh Doryab,TBA,TBA,,,Permission,0,30,
16742,,,026,IND,3,Judy Fox,TBA,TBA,,,Permission,1,30,
16758,,,027,IND,3,Michele Claibourn,TBA,TBA,,,Permission,0,30,
16825,,,028,IND,3,Rich Nguyen,TBA,TBA,,,Permission,3,30,
20369,,,029,IND,3,Chen-Yu Wei,TBA,TBA,,,Permission,1,30,
20559,,,030,IND,3,Briana Morrison,TBA,TBA,,,Permission,1,30,
