Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
Fall 202416995,005,Lecture(3 Units),Open,9 / 14(46 / 70),Miaomiao Zhang
Website16398,006,Lecture(3 Units),Open,43 / 48,Madhur Behl
,Fall 202419541,001,Lecture(3 Units),Open,66 / 80
Fall 202419541,001,Lecture(3 Units),Open,66 / 80,Raymond Pettit
Fall 202419541,001,Lecture(3 Units),Open,66 / 80,Raymond Pettit
,Fall 202416197,001,Lecture(3 Units),Open,52 / 70
Fall 202416197,001,Lecture(3 Units),Open,52 / 70,Matthew Dwyer
Fall 202416197,001,Lecture(3 Units),Open,52 / 70,Matthew Dwyer
,Fall 202416801,001,Lecture(3 Units),Open,54 / 76
Fall 202416801,001,Lecture(3 Units),Open,54 / 76,Wajih Ul Hassan
Fall 202416801,001,Lecture(3 Units),Open,54 / 76,Wajih Ul Hassan
,Website16056,001,Lecture(3 Units),Open,52 / 80
Website16056,001,Lecture(3 Units),Open,52 / 80,Chen-Yu Wei
Website16056,001,Lecture(3 Units),Open,52 / 80,Chen-Yu Wei
Fall 202417090,002,Lecture(3 Units),Open,118 / 120,Ferdinando Fioretto
,Website19544,001,Lecture(3 Units),Closed,81 / 80
Website19544,001,Lecture(3 Units),Closed,81 / 80,Mark Sherriff
Website19544,001,Lecture(3 Units),Closed,81 / 80,Mark Sherriff
,Fall 202419545,001,Lecture(3 Units),Open,69 / 80
Fall 202419545,001,Lecture(3 Units),Open,69 / 80,Yue Cheng
Fall 202419545,001,Lecture(3 Units),Open,69 / 80,Yue Cheng
,Fall 202416086,001,Lecture(3 Units),Closed,138 / 120
Fall 202416086,001,Lecture(3 Units),Closed,138 / 120,Shivani Datar
Fall 202416086,001,Lecture(3 Units),Closed,138 / 120,Shivani Datar
,Fall 202416388,001,Lecture(3 Units),Open,222 / 240
Fall 202416388,001,Lecture(3 Units),Open,222 / 240,Rich Nguyen
Fall 202416388,001,Lecture(3 Units),Open,222 / 240,Rich Nguyen
,Fall 202417081,001,IND(1 - 3 Units),Permission,0 / 30
Fall 202417081,001,IND(1 - 3 Units),Permission,0 / 30,Panagiotis Apostolellis
Fall 202417081,001,IND(1 - 3 Units),Permission,0 / 30,Panagiotis Apostolellis
Fall 202417069,002,IND(1 - 3 Units),Permission,0 / 30,Kevin Sullivan
Fall 202416466,003,IND(1 - 3 Units),Permission,0 / 30,Seongkook Heo
Fall 202416493,004,IND(1 - 3 Units),Permission,0 / 30,Daniel Graham
Fall 202416500,005,IND(1 - 3 Units),Permission,1 / 30,Jack Davidson
Fall 202416390,007,IND(1 - 3 Units),Permission,0 / 30,Aidong Zhang
Fall 202417058,008,IND(1 - 3 Units),Permission,0 / 30,Briana Morrison
Fall 202416836,009,IND(1 - 3 Units),Permission,0 / 30,Yixin Sun
Fall 202416516,010,IND(1 - 3 Units),Permission,1 / 30,Rich Nguyen
Fall 202415958,011,IND(1 - 3 Units),Permission,0 / 30,David Evans
Fall 202416540,012,IND(1 - 3 Units),Permission,0 / 30,Madhav Marathe
Fall 202416356,013,IND(1 - 3 Units),Permission,0 / 30,Farzad Hassanzadeh
Fall 202416783,014,IND(1 - 3 Units),Permission,0 / 30,Rosanne Vrugtman
Fall 202416751,015,IND(1 - 3 Units),Permission,1 / 30,Felix Lin
Fall 202416351,016,IND(1 - 3 Units),Permission,2 / 30,Yangfeng Ji
Fall 202416554,017,IND(1 - 3 Units),Permission,0 / 30,Aaron Bloomfield
Fall 202416759,018,IND(1 - 3 Units),Permission,0 / 30,Raymond Pettit
Fall 202416614,019,IND(1 - 3 Units),Permission,0 / 30,Sebastian Elbaum
Fall 202416272,020,IND(1 - 3 Units),Permission,0 / 30,Madhur Behl
Fall 202415959,021,IND(1 - 3 Units),Permission,3 / 30,Mark Sherriff
Fall 202415991,022,IND(1 - 3 Units),Permission,1 / 30,Mark Floryan
Fall 202415992,023,IND(1 - 3 Units),Permission,0 / 30,Yanjun Qi
Fall 202416617,024,IND(1 - 3 Units),Permission,0 / 30,Robbie Hott
Fall 202416313,025,IND(1 - 3 Units),Permission,0 / 30,Homa Alemzadeh
Fall 202416102,026,IND(1 - 3 Units),Permission,3 / 30,Nada Basit
Fall 202416675,027,IND(1 - 3 Units),Permission,0 / 30,Ashish Venkat
Fall 202416696,028,IND(1 - 3 Units),Permission,0 / 30,Nicola Bezzo
Fall 202416697,029,IND(1 - 3 Units),Permission,0 / 30,Kristen Naegle
